97,Mario Addison,28,,14,0,239,6-2,Troy,9/6/1987,4,2,,$1020000
69,Jared Allen,33,DE,12,12,265,6-6,Idaho St.,4/3/1982,11,5,Kansas City Chiefs / 4th / 126th pick / 2004,$823529
3,Derek Anderson,32,,3,0,229,6-6,Oregon St.,6/15/1983,9,0,Baltimore Ravens / 6th / 213th pick / 2005,$1764000
34,Cameron Artis-Payne,25,,7,0,212,5-10,Auburn,6/23/1990,Rook,2,Carolina Panthers / 5th / 174th pick / 2015,$476563
25,Bene Benwikere,24,lcb,13,4,195,5-11,San Jose St.,9/3/1991,1,2,Carolina Panthers / 5th / 148th pick / 2014,$559750
11,Brenton Bersin,25,wr,9,2,211,6-3,Wofford,5/9/1990,2,1,,$510000
33,Tre Boston,23,fs,16,1,204,6-0,North Carolina,6/25/1992,1,1,Carolina Panthers / 4th / 128th pick / 2014,$611367
47,Richie Brockel,29,,2,0,251,6-1,Boise St.,7/24/1986,4,0,,$855000
10,Corey Brown,24,WR,14,11,190,6-0,Ohio St.,12/16/1991,1,5,,$515000
91,Colin Cole,35,,2,0,299,6-2,Iowa,6/24/1980,11,0,,$1505000
20,Kurt Coleman,27,FS,15,15,195,5-11,Ohio St.,7/1/1988,5,7,Philadelphia Eagles / 7th / 244th pick / 2010,$1340625
82,Jerricho Cotchery,33,wr,14,3,200,6-1,North Carolina St.,6/16/1982,11,6,New York Jets / 4th / 108th pick / 2004,$1950000
58,Thomas Davis*+,32,LB,16,16,231,6-1,Georgia,3/22/1983,10,16,Carolina Panthers / 1st / 14th pick / 2005,$7650000
84,Ed Dickson,28,TE,16,11,244,6-4,Oregon,7/25/1987,5,1,Baltimore Ravens / 3rd / 70th pick / 2010,$1516666
94,Kony Ealy,24,DE,16,9,273,6-4,Missouri,12/21/1991,1,5,Carolina Panthers / 2nd / 60th pick / 2014,$806098
92,Dwan Edwards,34,,12,0,315,6-3,Oregon St.,5/16/1981,11,1,Baltimore Ravens / 2nd / 51st pick / 2004,$1750000
26,Cortland Finnegan,31,,5,0,177,5-9,Samford,2/2/1984,9,0,Tennessee Titans / 7th / 215th pick / 2006,$255882
17,Devin Funchess,21,wr,16,5,230,6-5,Michigan,5/21/1994,Rook,5,Carolina Panthers / 2nd / 41st pick / 2015,$1003797
9,Graham Gano,28,,16,0,192,6-0,Florida St.,4/9/1987,6,3,,$3100000
19,Ted Ginn,30,WR,15,13,178,5-11,Ohio St.,4/12/1985,8,9,Miami Dolphins / 1st / 9th pick / 2007,$1850000
41,Roman Harper,33,SS,16,16,195,6-0,Alabama,12/11/1982,9,6,New Orleans Saints / 2nd / 43rd pick / 2006,$1800000
96,Wes Horton,25,de,8,2,261,6-5,USC,1/18/1990,2,1,,$588334
53,Ben Jacobs,27,,16,0,243,6-4,Fresno St.,4/17/1988,4,1,,$585000
44,J.J. Jansen,29,,16,0,254,6-2,Notre Dame,1/20/1986,6,1,,$995000
95,Charles Johnson,29,DE,9,9,270,6-2,Georgia,7/10/1986,8,4,Carolina Panthers / 3rd / 83rd pick / 2007,$20020000
42,Colin Jones,28,cb,15,3,200,5-11,TCU,10/27/1987,4,2,San Francisco 49ers / 6th / 190th pick / 2011,$870000
67,Ryan Kalil*+,30,C,15,15,299,6-3,USC,3/29/1985,8,13,Carolina Panthers / 2nd / 59th pick / 2007,$11795000
56,A.J. Klein,24,lb,15,6,250,6-1,Iowa St.,7/30/1991,2,4,Carolina Panthers / 5th / 148th pick / 2013,$632825
59,Luke Kuechly*+,24,MLB,13,13,242,6-3,Boston Col.,4/20/1991,3,15,Carolina Panthers / 1st / 9th pick / 2012,$4002283
98,Star Lotulelei,26,LDT,14,14,311,6-3,Utah,12/20/1989,2,6,Carolina Panthers / 1st / 14th pick / 2013,$2619409
61,Kyle Love,29,ldt,15,2,301,6-1,Mississippi St.,11/18/1986,5,2,,$745000
27,Robert McClain,27,,3,0,180,5-9,Connecticut,7/22/1988,5,0,Carolina Panthers / 7th / 249th pick / 2010,$131470
1,Cam Newton*+,26,QB,16,16,260,6-6,Auburn,5/11/1989,4,20,Carolina Panthers / 1st / 1st pick / 2011,$13000000
24,Josh Norman*+,28,RCB,16,16,203,6-0,Coastal Carolina,12/15/1987,3,15,Carolina Panthers / 5th / 143rd pick / 2012,$1591750
8,Brad Nortman,26,,16,0,213,6-2,Wisconsin,9/12/1989,3,2,Carolina Panthers / 6th / 207th pick / 2012,$679670
68,Andrew Norwell,24,LG,13,13,316,6-6,Ohio St.,10/25/1991,1,6,,$514000
81,Kevin Norwood,26,,1,0,198,6-2,Alabama,9/23/1989,1,0,Seattle Seahawks / 4th / 123rd pick / 2014,$510000
73,Michael Oher,29,LT,16,16,309,6-5,Mississippi,5/28/1986,6,9,Baltimore Ravens / 1st / 23rd pick / 2009,$2421875
88,Greg Olsen*,30,TE,16,16,254,6-6,Miami (FL),3/11/1985,8,12,Chicago Bears / 1st / 31st pick / 2007,$6300000
74,Mike Remmers,26,RT,16,16,303,6-5,Oregon St.,4/11/1989,3,9,,$585000
79,Chris Scott,28,,13,0,328,6-5,Tennessee,8/4/1987,4,1,Pittsburgh Steelers / 5th / 151st pick / 2010,$665000
99,Kawann Short*,26,RDT,16,16,299,6-3,Purdue,2/2/1989,2,14,Carolina Panthers / 2nd / 44th pick / 2013,$1262754
66,Amini Silatolu,27,lg,8,3,312,6-4,Midwestern St.,9/16/1988,3,2,Carolina Panthers / 2nd / 40th pick / 2012,$1570897
80,Scott Simonson,23,,9,0,249,6-5,Assumption,4/13/1992,1,0,,$555000
28,Jonathan Stewart*,28,RB,13,13,235,5-11,Oregon,3/21/1987,7,9,Carolina Panthers / 1st / 13th pick / 2008,$8300000
54,Shaq Thompson,21,LB,14,10,231,6-2,Washington,4/21/1994,Rook,5,Carolina Panthers / 1st / 25th pick / 2015,$1601586
31,Charles Tillman,34,LCB,12,12,196,6-1,La-Lafayette,2/23/1981,12,4,Chicago Bears / 2nd / 35th pick / 2003,$1531250
35,Mike Tolbert*+,30,fb,16,3,243,5-9,Coastal Carolina,11/23/1985,7,4,,$3425000
70,Trai Turner*,22,RG,16,16,310,6-3,LSU,6/14/1993,1,10,Carolina Panthers / 3rd / 92nd pick / 2014,$644950
61,Fernando Velasco,30,c,12,1,308,6-3,Georgia,2/22/1985,6,1,,$550588
14,Joe Webb,29,,16,0,220,6-4,Ala-Birmingham,11/14/1986,5,0,Minnesota Vikings / 6th / 199th pick / 2010,$665000
32,Brandon Wegher,25,,1,0,215,5-10,Morningside,12/9/1990,Rook,0,,$435833
43,Fozzy Whittaker,26,rb,15,1,202,5-10,Texas,2/2/1989,3,2,,$635000
60,Daryl Williams,23,,10,2,334,6-5,Oklahoma,8/31/1992,Rook,2,Carolina Panthers / 4th / 102nd pick / 2015,$574280
21,Teddy Williams,27,,16,0,198,6-3,Texas-San Antonio,7/3/1988,4,1,,$790000
